id,entidad,descripcion,monto,tipo,fecha
53,Ministerio del Interior,Adquisición de uniformes policiales,29692.34,Educación,2024-12-29
54,SUNAT,Compra de luminarias LED para parques,68350.29,Servicios,2024-09-10
55,Ministerio de Agricultura,Capacitación a personal administrativo,80929.99,Salud,2024-12-21
56,Ministerio de Transporte,Instalación de cámaras de videovigilancia,77938.4,Educación,2025-06-29
57,Municipalidad,Desarrollo de software educativo,24823.47,Seguridad,2024-12-15
58,Ministerio de Educación,Mantenimiento de carreteras nacionales,40723.63,Servicios,2025-03-26
59,Ministerio del Interior,Catering para evento institucional,59937.9,Ambiental,2024-11-14
60,Ministerio de Salud,Adquisición de equipos de cómputo,79266.35,Seguridad,2025-06-13
61,Municipalidad,Compra de luminarias LED para parques,35624.77,Tecnología,2024-08-20
62,Gobierno Regional,Compra de luminarias LED para parques,44430.23,Salud,2025-05-14
63,Municipalidad,Capacitación a personal administrativo,16809.95,Seguridad,2025-01-29
64,Ministerio de Agricultura,Contratación de servicios de limpieza,14113.8,Infraestructura,2025-02-28
65,Gobierno Regional,Impresión de materiales escolares,74375.77,Tecnología,2024-09-21
66,Gobierno Regional,Compra de luminarias LED para parques,90687.2,Tecnología,2025-07-28
67,Ministerio de Agricultura,Mejoramiento de sistemas de riego agrícola,47839.7,Salud,2024-12-29
68,Gobierno Local,Impresión de materiales escolares,80105.99,Ambiental,2024-09-03
69,Ministerio de Salud,Mantenimiento de carreteras nacionales,60849.08,Servicios,2025-03-06
70,Municipalidad,Compra de equipos médicos de diagnóstico,30646.41,Salud,2024-11-25
71,EsSalud,Mejoramiento de sistemas de riego agrícola,60841.87,Educación,2025-06-22
72,Ministerio de Transporte,Mantenimiento de carreteras nacionales,96141.1,Seguridad,2025-04-05
73,SUNAT,Capacitación a personal administrativo,48925.22,Salud,2025-04-01
74,Ministerio de Agricultura,Desarrollo de software educativo,96939.31,Infraestructura,2025-07-13
75,Gobierno Regional,Instalación de cámaras de videovigilancia,1000.0,Ambiental,2025-07-04
76,Ministerio de Agricultura,Catering para evento institucional,74657.08,Servicios,2024-12-22
77,Ministerio de Agricultura,Capacitación a personal administrativo,52611.41,Educación,2025-03-16
78,Ministerio del Interior,Compra de equipos médicos de diagnóstico,41029.78,Educación,2024-10-17
79,EsSalud,Adquisición de equipos de cómputo,52752.82,Servicios,2025-05-04
80,Ministerio del Interior,Instalación de cámaras de videovigilancia,1000.0,Seguridad,2024-08-31
81,Ministerio de Educación,Consultoría para diseño de puente,43409.84,Educación,2024-08-21
82,SUNAT,Mantenimiento de carreteras nacionales,60713.38,Infraestructura,2025-04-17
83,EsSalud,Mantenimiento de carreteras nacionales,94336.82,Servicios,2024-10-31
84,Ministerio de Salud,Contratación de servicios de limpieza,34451.89,Educación,2025-05-31
85,EsSalud,Contratación de servicios de limpieza,25745.19,Infraestructura,2024-11-24
86,Ministerio de Salud,Mantenimiento de carreteras nacionales,34947.29,Seguridad,2024-09-03
87,Ministerio de Salud,Compra de equipos médicos de diagnóstico,77462.06,Salud,2025-07-02
88,Ministerio de Salud,Capacitación a personal administrativo,59862.53,Servicios,2024-11-02
89,Ministerio de Transporte,Compra de luminarias LED para parques,34107.19,Infraestructura,2025-07-06
90,Municipalidad,Instalación de cámaras de videovigilancia,65398.02,Ambiental,2024-09-12
91,EsSalud,Compra de luminarias LED para parques,52912.33,Infraestructura,2024-12-29
92,Gobierno Local,Contratación de servicios de limpieza,79059.35,Ambiental,2024-11-19
93,EsSalud,Desarrollo de software educativo,28938.41,Ambiental,2025-01-27
94,Ministerio del Interior,Compra de equipos médicos de diagnóstico,40170.14,Salud,2025-04-07
95,Ministerio de Transporte,Instalación de cámaras de videovigilancia,38236.76,Ambiental,2025-06-23
96,Ministerio de Educación,Adquisición de uniformes policiales,6094.55,Ambiental,2024-12-23
97,SUNAT,Capacitación a personal administrativo,58883.61,Seguridad,2024-10-06
98,Ministerio de Salud,Instalación de cámaras de videovigilancia,57831.66,Seguridad,2024-12-25
99,Ministerio de Transporte,Adquisición de medicamentos para hospitales,50153.4,Ambiental,2024-12-19
100,Ministerio de Educación,Desarrollo de software educativo,42962.39,Tecnología,2024-10-24
101,Ministerio de Transporte,Compra de equipos médicos de diagnóstico,7538.88,Infraestructura,2025-04-21
102,EsSalud,Compra de luminarias LED para parques,37380.64,Ambiental,2024-11-15
103,Gobierno Regional,Adquisición de uniformes policiales,39718.56,Infraestructura,2025-05-03
104,Municipalidad,Consultoría para diseño de puente,25931.68,Infraestructura,2025-08-02
105,Ministerio de Transporte,Consultoría para diseño de puente,45161.43,Tecnología,2025-04-26
106,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,62121.53,Salud,2025-04-12
107,Ministerio de Agricultura,Capacitación a personal administrativo,106585.58,Salud,2024-08-31
108,Ministerio de Transporte,Mejoramiento de sistemas de riego agrícola,55237.33,Tecnología,2025-03-28
109,EsSalud,Catering para evento institucional,57726.51,Ambiental,2025-04-07
110,SUNAT,Consultoría para diseño de puente,47766.62,Infraestructura,2024-10-09
111,Ministerio del Interior,Mejoramiento de sistemas de riego agrícola,1000.0,Salud,2025-02-27
112,Gobierno Regional,Adquisición de uniformes policiales,49204.58,Salud,2025-05-14
113,Ministerio del Interior,Recolección de residuos sólidos,51806.91,Tecnología,2024-11-07
114,SUNAT,Recolección de residuos sólidos,123897.26,Ambiental,2024-10-06
115,Ministerio de Agricultura,Instalación de cámaras de videovigilancia,44229.17,Seguridad,2025-01-30
116,SUNAT,Catering para evento institucional,59046.42,Infraestructura,2024-12-29
117,Municipalidad,Compra de equipos médicos de diagnóstico,48958.65,Salud,2024-11-16
118,Gobierno Local,Adquisición de equipos de cómputo,14939.66,Educación,2025-07-29
119,Ministerio de Salud,Adquisición de equipos de cómputo,84284.68,Servicios,2025-04-09
120,Ministerio de Salud,Adquisición de medicamentos para hospitales,72557.99,Educación,2025-04-28
121,SUNAT,Compra de luminarias LED para parques,73730.96,Tecnología,2025-03-08
122,Ministerio de Agricultura,Catering para evento institucional,22718.38,Salud,2024-10-28
123,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,92083.83,Tecnología,2025-04-26
124,Gobierno Regional,Mantenimiento de carreteras nacionales,7944.47,Educación,2024-12-07
125,Ministerio de Transporte,Instalación de cámaras de videovigilancia,67605.71,Tecnología,2025-06-27
126,EsSalud,Adquisición de uniformes policiales,115713.67,Salud,2025-05-29
127,Gobierno Local,Compra de equipos médicos de diagnóstico,20283.91,Educación,2025-06-01
128,Gobierno Local,Adquisición de medicamentos para hospitales,33011.07,Educación,2024-08-25
129,Ministerio de Transporte,Adquisición de uniformes policiales,52989.54,Seguridad,2024-10-31
130,Gobierno Local,Contratación de servicios de limpieza,34895.73,Educación,2025-06-19
131,Ministerio de Educación,Mejoramiento de sistemas de riego agrícola,3480.1,Servicios,2024-08-16
132,EsSalud,Instalación de cámaras de videovigilancia,52056.89,Seguridad,2025-06-12
133,Ministerio de Educación,Compra de equipos médicos de diagnóstico,18130.89,Servicios,2024-12-04
134,Ministerio del Interior,Catering para evento institucional,64207.77,Seguridad,2025-01-06
135,Municipalidad,Consultoría para diseño de puente,22417.27,Servicios,2024-11-15
136,Ministerio de Transporte,Adquisición de medicamentos para hospitales,96498.03,Ambiental,2024-08-29
137,Gobierno Local,Contratación de servicios de limpieza,26502.4,Salud,2024-10-24
138,Ministerio de Transporte,Compra de luminarias LED para parques,40338.15,Infraestructura,2025-07-24
139,Ministerio de Agricultura,Recolección de residuos sólidos,74405.52,Infraestructura,2025-03-12
140,Ministerio de Educación,Mejoramiento de sistemas de riego agrícola,13074.07,Salud,2025-07-10
141,EsSalud,Impresión de materiales escolares,56823.8,Servicios,2025-05-09
142,Gobierno Regional,Consultoría para diseño de puente,89214.28,Tecnología,2024-12-04
143,Ministerio de Agricultura,Adquisición de equipos de cómputo,1775.5,Servicios,2024-10-25
144,Gobierno Local,Desarrollo de software educativo,55539.02,Seguridad,2025-04-15
145,Ministerio de Agricultura,Adquisición de medicamentos para hospitales,57796.48,Seguridad,2025-02-13
146,Ministerio de Agricultura,Recolección de residuos sólidos,73454.69,Seguridad,2025-01-04
147,Ministerio de Transporte,Mejoramiento de sistemas de riego agrícola,12891.48,Infraestructura,2025-07-13
148,Municipalidad,Mantenimiento de carreteras nacionales,10386.3,Salud,2025-07-25
149,Ministerio de Agricultura,Catering para evento institucional,65658.25,Servicios,2025-04-10
150,Municipalidad,Contratación de servicios de limpieza,58909.54,Infraestructura,2025-01-29
151,Ministerio de Educación,Compra de equipos médicos de diagnóstico,57514.79,Seguridad,2024-09-28
152,Municipalidad,Compra de luminarias LED para parques,60393.45,Ambiental,2024-11-14
153,Municipalidad,Mejoramiento de sistemas de riego agrícola,29599.26,Tecnología,2024-09-27
154,Ministerio de Salud,Mantenimiento de carreteras nacionales,56967.61,Seguridad,2024-11-07
155,Ministerio del Interior,Capacitación a personal administrativo,58792.17,Servicios,2025-05-20
156,Ministerio de Salud,Adquisición de medicamentos para hospitales,28569.46,Servicios,2025-03-10
157,Gobierno Regional,Instalación de cámaras de videovigilancia,105973.24,Servicios,2025-03-01
158,Gobierno Regional,Adquisición de equipos de cómputo,64214.99,Ambiental,2024-11-14
159,Ministerio de Agricultura,Adquisición de equipos de cómputo,14260.9,Ambiental,2025-05-21
160,Ministerio de Agricultura,Adquisición de medicamentos para hospitales,69696.61,Salud,2025-03-19
161,Ministerio de Transporte,Mejoramiento de sistemas de riego agrícola,20759.55,Seguridad,2025-01-17
162,Gobierno Regional,Compra de luminarias LED para parques,73612.54,Salud,2025-07-18
163,Ministerio de Educación,Contratación de servicios de limpieza,84757.87,Educación,2025-03-18
164,Gobierno Regional,Adquisición de uniformes policiales,25379.53,Infraestructura,2025-01-06
165,Ministerio de Salud,Recolección de residuos sólidos,78901.28,Servicios,2024-12-22
166,Ministerio de Salud,Mejoramiento de sistemas de riego agrícola,62383.43,Servicios,2024-10-28
167,EsSalud,Instalación de cámaras de videovigilancia,74661.8,Infraestructura,2024-09-26
168,Ministerio de Transporte,Impresión de materiales escolares,106903.79,Tecnología,2025-02-17
169,Ministerio de Agricultura,Mejoramiento de sistemas de riego agrícola,42638.36,Tecnología,2025-02-11
170,Ministerio del Interior,Contratación de servicios de limpieza,27387.92,Seguridad,2024-09-08
171,Gobierno Regional,Mejoramiento de sistemas de riego agrícola,23314.57,Infraestructura,2025-05-24
172,Gobierno Regional,Desarrollo de software educativo,25525.69,Tecnología,2024-08-22
173,Gobierno Regional,Mejoramiento de sistemas de riego agrícola,47686.95,Ambiental,2025-07-04
174,Ministerio de Salud,Catering para evento institucional,60234.56,Seguridad,2024-09-15
175,Ministerio de Educación,Desarrollo de software educativo,58300.72,Ambiental,2024-10-02
176,EsSalud,Recolección de residuos sólidos,74815.5,Infraestructura,2025-04-04
177,Ministerio de Transporte,Adquisición de uniformes policiales,50390.06,Tecnología,2024-10-05
178,Ministerio de Salud,Capacitación a personal administrativo,93606.02,Ambiental,2025-06-07
179,EsSalud,Compra de equipos médicos de diagnóstico,42060.3,Tecnología,2025-04-25
180,SUNAT,Impresión de materiales escolares,131605.07,Servicios,2025-01-14
181,EsSalud,Compra de equipos médicos de diagnóstico,68770.02,Salud,2025-03-23
182,EsSalud,Adquisición de uniformes policiales,24285.27,Servicios,2024-08-28
183,Municipalidad,Capacitación a personal administrativo,17873.23,Salud,2024-12-31
184,Municipalidad,Impresión de materiales escolares,64474.17,Seguridad,2024-12-30
185,Ministerio de Agricultura,Adquisición de uniformes policiales,43296.12,Seguridad,2025-03-23
186,Ministerio de Agricultura,Impresión de materiales escolares,71420.01,Salud,2025-02-01
187,Ministerio de Transporte,Mejoramiento de sistemas de riego agrícola,64197.13,Servicios,2025-02-25
188,Gobierno Regional,Contratación de servicios de limpieza,47815.13,Servicios,2024-11-09
189,Ministerio de Salud,Mantenimiento de carreteras nacionales,24596.19,Educación,2025-03-06
190,Ministerio del Interior,Impresión de materiales escolares,4554.58,Seguridad,2025-07-04
191,Ministerio de Educación,Adquisición de uniformes policiales,36604.55,Educación,2024-08-08
192,Ministerio de Agricultura,Mantenimiento de carreteras nacionales,75691.96,Ambiental,2025-04-25
193,Gobierno Local,Compra de equipos médicos de diagnóstico,56422.81,Servicios,2025-05-10
194,Ministerio de Salud,Adquisición de equipos de cómputo,12627.84,Ambiental,2024-09-17
195,Ministerio de Salud,Compra de luminarias LED para parques,55195.43,Tecnología,2025-04-25
196,Ministerio de Agricultura,Instalación de cámaras de videovigilancia,61559.52,Seguridad,2025-07-13
197,EsSalud,Impresión de materiales escolares,23484.28,Ambiental,2025-02-28
198,Ministerio de Transporte,Instalación de cámaras de videovigilancia,54611.75,Servicios,2025-05-22
199,Gobierno Local,Impresión de materiales escolares,51746.26,Seguridad,2024-11-15
200,Ministerio de Transporte,Adquisición de equipos de cómputo,15710.89,Servicios,2025-05-29
201,Ministerio de Agricultura,Recolección de residuos sólidos,60733.62,Seguridad,2025-04-09
202,Ministerio del Interior,Impresión de materiales escolares,66823.54,Ambiental,2024-12-14
203,Municipalidad,Compra de luminarias LED para parques,82491.54,Infraestructura,2024-09-16
204,EsSalud,Adquisición de uniformes policiales,81614.06,Seguridad,2024-11-25
205,Ministerio del Interior,Instalación de cámaras de videovigilancia,8669.92,Seguridad,2025-01-19
206,Gobierno Regional,Contratación de servicios de limpieza,21865.25,Educación,2024-10-04
207,Municipalidad,Adquisición de uniformes policiales,65451.06,Educación,2025-01-27
208,Ministerio de Salud,Recolección de residuos sólidos,65413.58,Servicios,2024-08-05
209,EsSalud,Adquisición de uniformes policiales,65451.43,Tecnología,2025-05-11
210,Gobierno Local,Contratación de servicios de limpieza,165581.94,Seguridad,2025-07-10
211,Ministerio de Educación,Consultoría para diseño de puente,67126.72,Ambiental,2025-05-10
212,SUNAT,Instalación de cámaras de videovigilancia,84066.97,Infraestructura,2024-11-14
213,Ministerio de Agricultura,Consultoría para diseño de puente,78620.05,Tecnología,2025-02-14
214,Gobierno Regional,Instalación de cámaras de videovigilancia,69541.74,Salud,2025-05-26
215,Municipalidad,Compra de luminarias LED para parques,40541.92,Seguridad,2024-10-12
216,Gobierno Local,Impresión de materiales escolares,72769.08,Salud,2025-02-17
217,EsSalud,Instalación de cámaras de videovigilancia,26815.24,Servicios,2025-07-24
218,EsSalud,Desarrollo de software educativo,42895.44,Infraestructura,2024-09-14
219,Gobierno Regional,Adquisición de medicamentos para hospitales,35439.09,Salud,2025-07-08
220,EsSalud,Consultoría para diseño de puente,52456.22,Educación,2025-04-03
221,Ministerio de Transporte,Consultoría para diseño de puente,119439.76,Ambiental,2024-11-27
222,Gobierno Local,Compra de equipos médicos de diagnóstico,1000.0,Seguridad,2025-06-26
223,Ministerio del Interior,Consultoría para diseño de puente,70587.81,Ambiental,2025-04-09
224,EsSalud,Catering para evento institucional,1618.52,Seguridad,2025-02-17
225,Ministerio de Salud,Mejoramiento de sistemas de riego agrícola,35842.04,Tecnología,2025-03-28
226,Ministerio de Transporte,Desarrollo de software educativo,82668.52,Ambiental,2024-10-20
227,EsSalud,Catering para evento institucional,51928.4,Tecnología,2024-10-02
228,Ministerio de Agricultura,Consultoría para diseño de puente,17667.66,Salud,2024-12-27
229,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,28540.89,Tecnología,2025-05-27
230,Ministerio de Transporte,Consultoría para diseño de puente,70387.93,Infraestructura,2024-10-05
231,SUNAT,Instalación de cámaras de videovigilancia,28089.0,Educación,2025-03-01
232,Ministerio de Agricultura,Contratación de servicios de limpieza,56493.76,Servicios,2025-06-02
233,SUNAT,Contratación de servicios de limpieza,51367.16,Tecnología,2025-07-28
234,Ministerio de Agricultura,Adquisición de uniformes policiales,30451.99,Tecnología,2025-02-25
235,Ministerio de Agricultura,Consultoría para diseño de puente,114318.32,Infraestructura,2025-07-26
236,SUNAT,Consultoría para diseño de puente,69017.57,Servicios,2024-08-04
237,EsSalud,Capacitación a personal administrativo,1000.0,Seguridad,2025-03-24
238,Municipalidad,Desarrollo de software educativo,55593.63,Tecnología,2024-12-07
239,Ministerio de Agricultura,Consultoría para diseño de puente,30146.41,Seguridad,2025-02-09
240,EsSalud,Recolección de residuos sólidos,75573.0,Ambiental,2024-08-11
241,Ministerio de Transporte,Adquisición de equipos de cómputo,26224.38,Servicios,2024-09-16
242,EsSalud,Recolección de residuos sólidos,46557.91,Servicios,2025-07-30
243,Ministerio de Educación,Mejoramiento de sistemas de riego agrícola,65149.62,Educación,2024-12-22
244,Ministerio de Transporte,Catering para evento institucional,75972.66,Infraestructura,2025-07-11
245,EsSalud,Adquisición de uniformes policiales,13991.11,Seguridad,2025-06-22
246,Gobierno Regional,Adquisición de equipos de cómputo,39964.96,Infraestructura,2025-06-13
247,Ministerio de Transporte,Adquisición de uniformes policiales,35751.64,Ambiental,2024-12-01
248,Ministerio de Educación,Compra de luminarias LED para parques,30400.12,Ambiental,2024-11-04
249,Ministerio del Interior,Adquisición de medicamentos para hospitales,102963.63,Infraestructura,2024-08-26
250,Ministerio del Interior,Adquisición de uniformes policiales,62149.45,Tecnología,2024-11-05
251,Gobierno Local,Adquisición de equipos de cómputo,12173.48,Salud,2025-07-10
252,Gobierno Local,Adquisición de uniformes policiales,77535.86,Ambiental,2025-03-12
253,Ministerio de Salud,Impresión de materiales escolares,113664.69,Servicios,2024-09-03
254,Ministerio del Interior,Capacitación a personal administrativo,80973.96,Tecnología,2024-09-06
255,Ministerio del Interior,Compra de luminarias LED para parques,4418.9,Seguridad,2025-05-15
256,Ministerio de Agricultura,Desarrollo de software educativo,35472.98,Educación,2025-02-08
257,EsSalud,Consultoría para diseño de puente,88007.33,Infraestructura,2025-06-16
258,Municipalidad,Adquisición de uniformes policiales,28769.92,Ambiental,2024-08-30
259,Ministerio de Salud,Adquisición de uniformes policiales,63314.58,Servicios,2025-05-26
260,Ministerio del Interior,Adquisición de equipos de cómputo,73239.02,Infraestructura,2025-02-26
261,SUNAT,Mejoramiento de sistemas de riego agrícola,22192.09,Infraestructura,2025-05-28
262,Gobierno Local,Compra de luminarias LED para parques,48214.24,Salud,2024-09-21
263,Ministerio del Interior,Contratación de servicios de limpieza,1000.0,Educación,2024-09-22
264,Ministerio de Salud,Mantenimiento de carreteras nacionales,19268.37,Seguridad,2025-04-17
265,Ministerio del Interior,Catering para evento institucional,42422.96,Tecnología,2025-02-04
266,SUNAT,Catering para evento institucional,12566.5,Salud,2025-03-05
267,Municipalidad,Adquisición de uniformes policiales,98972.34,Servicios,2024-10-07
268,EsSalud,Consultoría para diseño de puente,7095.76,Servicios,2024-11-14
269,Ministerio de Educación,Desarrollo de software educativo,36798.67,Ambiental,2025-02-24
270,Municipalidad,Desarrollo de software educativo,53922.22,Tecnología,2025-07-08
271,Ministerio del Interior,Recolección de residuos sólidos,93238.2,Tecnología,2025-03-27
272,Ministerio de Transporte,Consultoría para diseño de puente,6924.14,Salud,2025-01-15
273,Ministerio de Agricultura,Adquisición de medicamentos para hospitales,84894.91,Servicios,2024-10-25
274,EsSalud,Instalación de cámaras de videovigilancia,50306.99,Salud,2025-07-30
275,Ministerio de Salud,Desarrollo de software educativo,20554.74,Salud,2025-03-01
276,EsSalud,Compra de equipos médicos de diagnóstico,63863.1,Tecnología,2025-05-24
277,Ministerio de Salud,Contratación de servicios de limpieza,55971.79,Infraestructura,2025-05-14
278,EsSalud,Catering para evento institucional,31993.49,Ambiental,2025-04-28
279,Ministerio de Transporte,Contratación de servicios de limpieza,52094.06,Infraestructura,2024-10-21
280,SUNAT,Adquisición de equipos de cómputo,38440.59,Servicios,2025-05-07
281,Ministerio de Educación,Catering para evento institucional,53405.52,Educación,2024-12-03
282,Gobierno Local,Adquisición de equipos de cómputo,69863.92,Seguridad,2025-01-05
283,Ministerio de Transporte,Desarrollo de software educativo,97580.5,Tecnología,2025-04-21
284,Gobierno Regional,Recolección de residuos sólidos,12865.54,Salud,2025-04-13
285,Gobierno Local,Adquisición de medicamentos para hospitales,113991.0,Servicios,2024-12-27
286,Gobierno Local,Instalación de cámaras de videovigilancia,1000.0,Ambiental,2025-01-21
287,Ministerio del Interior,Adquisición de equipos de cómputo,45446.45,Infraestructura,2025-07-19
288,Ministerio de Transporte,Contratación de servicios de limpieza,67649.52,Seguridad,2025-02-21
289,EsSalud,Mantenimiento de carreteras nacionales,58429.76,Seguridad,2025-01-26
290,Municipalidad,Capacitación a personal administrativo,31319.01,Seguridad,2024-09-19
291,Gobierno Local,Desarrollo de software educativo,43756.33,Salud,2024-11-08
292,Gobierno Local,Desarrollo de software educativo,35209.97,Salud,2024-10-30
293,Ministerio de Educación,Compra de luminarias LED para parques,32319.06,Ambiental,2024-08-28
294,Ministerio de Educación,Mantenimiento de carreteras nacionales,75488.06,Educación,2024-12-13
295,Ministerio de Educación,Adquisición de medicamentos para hospitales,60710.46,Tecnología,2024-08-12
296,Ministerio del Interior,Capacitación a personal administrativo,29212.71,Ambiental,2025-03-20
297,Ministerio de Transporte,Adquisición de uniformes policiales,76988.0,Servicios,2025-03-07
298,SUNAT,Adquisición de equipos de cómputo,59218.99,Infraestructura,2024-11-01
299,Ministerio del Interior,Catering para evento institucional,74385.86,Seguridad,2025-03-20
300,Ministerio de Agricultura,Instalación de cámaras de videovigilancia,68888.87,Servicios,2024-10-28
301,Gobierno Local,Desarrollo de software educativo,25130.15,Educación,2024-08-06
302,SUNAT,Consultoría para diseño de puente,33194.57,Ambiental,2024-08-31
303,Gobierno Local,Recolección de residuos sólidos,72418.81,Servicios,2025-05-05
304,EsSalud,Capacitación a personal administrativo,68311.11,Salud,2025-04-06
305,Municipalidad,Mejoramiento de sistemas de riego agrícola,49372.95,Ambiental,2024-08-26
306,EsSalud,Desarrollo de software educativo,53519.82,Ambiental,2024-10-31
307,Gobierno Local,Contratación de servicios de limpieza,88329.95,Seguridad,2024-08-30
308,Ministerio del Interior,Impresión de materiales escolares,32252.86,Salud,2025-07-21
309,SUNAT,Capacitación a personal administrativo,66412.92,Servicios,2024-08-16
310,Gobierno Regional,Consultoría para diseño de puente,43934.22,Infraestructura,2025-07-03
311,Ministerio de Educación,Desarrollo de software educativo,43469.56,Servicios,2024-12-10
312,Ministerio de Educación,Recolección de residuos sólidos,82963.31,Educación,2024-08-31
313,Municipalidad,Compra de luminarias LED para parques,74762.49,Salud,2025-02-19
314,Ministerio de Agricultura,Compra de equipos médicos de diagnóstico,74405.29,Salud,2024-11-04
315,EsSalud,Adquisición de equipos de cómputo,89164.36,Ambiental,2024-11-20
316,SUNAT,Compra de luminarias LED para parques,50630.12,Tecnología,2025-04-20
317,EsSalud,Adquisición de equipos de cómputo,70458.59,Ambiental,2025-02-08
318,SUNAT,Consultoría para diseño de puente,40692.0,Tecnología,2024-10-26
319,Ministerio de Salud,Mantenimiento de carreteras nacionales,59724.99,Servicios,2025-03-01
320,EsSalud,Adquisición de uniformes policiales,46095.71,Seguridad,2024-09-24
321,EsSalud,Recolección de residuos sólidos,52909.88,Seguridad,2025-05-11
322,Gobierno Local,Impresión de materiales escolares,67854.71,Ambiental,2025-08-02
323,Ministerio de Agricultura,Compra de luminarias LED para parques,25453.38,Servicios,2025-07-12
